年份,季別,平均匯率(元/美元),國內投資毛額,投資率,工業生產指數,製造業銷售量指數,電力(企業)總用電量(十億度),進口物價基本分類指數,出口物價基本分類指數,進口貿易總值,出口貿易總值,機械及電機設備進口值(十億元),消費者物價指數,失業率,就業人數（千人）,總人口數(千人),景氣領先指標綜合指數(點),景氣同時指標綜合指數(點),gdp_t1,gdp_t2,gdp_t3
2020,3,29.48,1105794,21.67,209.56,210.69,33.2,209.54,217.34,2053915.33,1633896.67,789.51,229.07,9.27,26839.67,54659.0,209.99,200.79,4772375,4735466,4994165
2020,4,28.77,1249099,23.08,216.52,219.74,31.31,209.31,215.9,2171572.0,1753337.33,865.5,229.75,8.78,26872.33,54628.0,220.44,212.49,5103027,4772375,4735466
2021,1,28.39,1406312,26.55,210.18,212.91,28.69,221.73,222.04,2100753.33,1768963.67,850.64,231.0,8.58,26881.33,54584.0,224.55,222.11,5412884,5103027,4772375
2021,2,27.99,1487971,28.18,227.61,230.61,32.58,230.23,231.12,2381235.0,1991625.33,906.35,232.19,9.35,26689.0,54499.0,224.73,226.91,5296363,5412884,5103027
2021,3,27.87,1535902,28.5,242.05,240.15,34.4,236.61,236.55,2527612.67,2209644.0,1040.18,234.09,10.09,26568.67,54396.67,228.4,230.6,5279560,5296363,5412884
2021,4,27.84,1517016,26.11,242.28,240.35,33.25,243.3,242.1,2652433.0,2272027.0,1049.81,235.92,8.7,26748.67,54261.33,232.5,236.7,5388247,5279560,5296363
2022,1,28.0,1543862,27.34,226.46,224.36,30.02,252.12,246.97,2556697.67,2215151.33,1019.43,237.18,8.48,26745.33,54100.33,231.13,239.75,5809121,5388247,5279560
2022,2,29.46,1672089,30.08,232.97,229.03,33.04,278.12,266.7,2852835.33,2608344.0,1132.02,240.11,8.55,26576.67,53818.0,226.03,236.75,5647656,5809121,5388247
2022,3,30.4,1590854,27.82,234.39,225.37,35.56,275.92,263.87,2879697.0,2591830.33,1148.58,241.06,8.79,26598.0,53752.67,219.83,227.55,5558046,5647656,5809121
2022,4,31.37,1588290,26.94,220.26,211.99,32.25,275.24,267.03,2781303.0,2520472.0,1162.68,241.98,8.42,26657.0,53816.0,218.08,215.55,5718537,5558046,5647656
2023,1,30.4,1520462,27.7,188.21,187.55,28.45,263.12,253.88,2259435.33,2073891.33,925.86,243.54,8.22,26787.33,54002.33,220.45,206.97,5896191,5718537,5558046
2023,2,30.71,1426025,24.97,188.72,195.97,31.84,257.68,252.57,2533770.0,2111711.0,890.73,245.2,8.12,26852.33,54117.67,219.13,204.78,5489013,5896191,5718537
2023,3,31.69,1364758,22.69,205.88,207.63,34.72,260.87,258.1,2794123.0,2151759.33,973.8,246.62,8.28,26936.0,54213.0,216.33,207.6,5710934,5489013,5896191
2023,4,31.84,1471478,23.06,215.34,209.11,32.09,263.75,261.96,2853790.0,2235742.33,1049.92,249.07,7.88,26996.0,54258.33,215.93,210.73,6016101,5710934,5489013
